Sentence,"Niveau 1 : 
Intention général ?","Niveau 2 : 
Quel objet médical ?","Niveau 3 : 
Présence de sentiment ?","Niveau 3 : 
Polarité ?",,
Consulte au plus vite et tien au jus,partage_experience,diagnostique,non,,,
Bonjour à tous !,fonction_phatique,,non,,,
"Je suis une jeune maman de 22 ans, étudiante.",partage_experience,symptome,non,,,
J’ai été diagnostiquée en médecine interne il y a 3 ans comme ayant un « syndrome de fatigue chronique avec douleurs diffuses ».,partage_experience,symptome,non,,,
Bien que tout les examens n’aient pas été faits.,partage_experience,traitement,non,,,
"Je suis très souvent fatiguée, avec de gros coup de mou dans la journée et des douleurs diffuses.",partage_experience,symptome,non,,,
C’est évidemment très handicapant...,partage_experience,symptome,oui,negatif,,
"cependant, mon compagnon avec qui je dors chaque nuit me dit que je parle la nuit, (depuis mon enfance).",partage_experience,symptome,non,,,
"Et aussi, je ronfle.",partage_experience,symptome,non,,,
Apparemment cela pourrait être un symptôme d’apnée du sommeil...,partage_experience,symptome,non,,,
et j’ai également parfois (mais pas toutes les nuits non plus) des réveils en sursaut lors de l’endormissement car je me sens tellement fatiguée que j’oublie de respirer et je m’étouffe.,partage_experience,symptome,oui,negatif,,
Est-ce normal ?,recherche_information,symptome,non,,,
"Je me réveille la plupart du temps fatiguée, mon sommeil n’est pas du tout réparateur.",partage_experience,symptome,oui,negatif,,
Je me demande s’il fallait creuser sur cette piste ou si ça n’a rien à voir...,recherche_information,symptome,non,,,
J’ai consulté un médecin en ligne via une application spécifique mais elle n’a pas su me répondre...,partage_experience,traitement,non,,,
apparemment c’est peu probable que je souffre d’apnée du sommeil.,partage_experience,symptome,non,,,
Tant mieux dans un sens...,partage_experience,symptome,oui,positif,,
mais elle m’a conseillé d’en parler avec mon médecin traitant.,partage_experience,traitement,non,,,
Donc je n’ai pas eu de réelle réponse.,partage_experience,traitement,non,,,
"Sauf que je n’ai pas confiance en mon médecin, j’ai des problèmes au niveau de mes amygdales, angines régulières, gonflement en permanence de ces dernières, problème qui empire depuis plusieurs années et il m’a juste dit de mettre un peu d’antiseptique dans ma gorge...",partage_experience,symptome,non,,,
Tu demandes a ton medecin generaliste une aide pour voir un pneumologue et ensuite t'auras des aides pour avoir des testes de sommeil.,partage_experience,diagnostique,non,,,
"Une nuit tu porteras ton appareil temporaire il prendra ton poul gaz dans le sang, mais aussi enregistrera ton souffle soit tes ronflements, après le pneumologue branchera cette petite machine ou ce petit boitier sur son ordinateur et aura les résultats instantannément, puis il prendra une décision si oui ou non faut t'appareiller la nuit ou point.",partage_experience,diagnostique,non,,,
Merci pour votre réponse.,fonction_phatique,,non,,,
J’ai rdv jeudi avec une pneumologue.,partage_experience,traitement,non,,,
"Si elle décide d’effectuer le test d’apnée du sommeil, l’appareil est à se procurer en pharmacie ?",recherche_information,traitement,non,,,
"Pour l'enregistrement c'est elle qui te le pose, ou tu devras passer une nuit dans un hôpital (ça dépend des pneumos).",partage_experience,diagnostique,non,,,
Pour la mise en place de la PPC (si ton enregistrement démontre que tu fais des apnées) c'est un prestataire de santé qui fera l'installation.,partage_experience,diagnostique,non,,,
Ta pneumo te mettra en relation avec lui.,partage_experience,diagnostique,non,,,
D’accord.,fonction_phatique,,non,,,
Je verrai bien dans ce cas.,fonction_phatique,,non,,,
C’est un phénomène fréquent l’apnée du sommeil ?,recherche_information,symptome,non,,,
Même si j’ai 22 ans et une masse corporelle normale.,partage_experience,symptome,non,,,
"Ca peut arrivé à n'importe qui, qui apparemment la gorge ou trachée est compressée en sommeil, et l'air (oxygène) remonte mal depuis les poumons vers le nez...",partage_experience,diagnostique,non,,,
"Résultat, il faut forcer avec un appareil qui en quelque sorte aidera le nez et la bouche a mieux inspirer, ou qui forcera la respiration quand ton corps n'insiste pas pour mieux respirer au niveau de ta gorge ( du moins c'est ce que j'ai compris du pneumologue ), est-ce une maladie moderne ?",recherche_information,symptome,non,,,
Car je n'entendais pas parler autant de ce problème qui concernait tant de gens...,partage_experience,symptome,oui,negatif,,
"Et pour te répondre sur le physique : oui il y a aussi des gens hyper minces qui sont concernés, donc rien à voir avec le surpoids.",partage_experience,symptome,non,,,
"Bonjour,",fonction_phatique,,non,,,
Je dors depuis 15 jours avec un masque nasal branché à un appareil PPC.,partage_experience,traitement,non,,,
Il m'a fallu une semaine pour arriver à m'endormir correctement et dormir toute la nuit avec ce masque.,partage_experience,traitement,non,,,
Je note que malgré le fait que je dors vraiment beaucoup mieux je suis nettement plus fatiguée depuis que j'utilise cet appareil et ça devient difficile à vivre.,partage_experience,symptome,non,,,
"Ma tension a baissé, peut être est-ce la cause de cette fatigue ?",recherche_information,symptome,non,,,
Quelqu'un a t-il vécu quelque chose de similaire ?,recherche_information,symptome,non,,,
Merci pour vos réponse et bon dimanche,fonction_phatique,,oui,positif,,
Il va vous falloir un peu de temps pour vous habituer.,partage_experience,diagnostique,non,,,
"Le fait que votre tension artérielle ait baissé est plutôt une bonne nouvelle, cela montre que vous mettez le masque correctement et que la thérapie commence à faire effet.",partage_experience,diagnostique,oui,positif,,
"Si la fatigue persiste, refaites le point avec votre médecin.",partage_experience,diagnostique,non,,,
"Bonjour, et merci pour votre réponse.",fonction_phatique,,non,,,
Me voilà beaucoup moins fatiguée.,partage_experience,symptome,oui,positif,,
Ouf !!,fonction_phatique,,oui,positif,,
Qui peut me dire comment protéger mon nez correctement avec un masque nasal ?,recherche_information,traitement,non,,,
"L'arrête de mon nez est rouge, gonflée et me fait mal.",partage_experience,symptome,non,,,
"J'ai essayé les compresses, ça protège plus ou moins de la douleur mais c'est tout.",partage_experience,traitement,non,,,
"J'ai également essayé un masque narinaire, mais là, c'est le dessous de mon nez qui devient très douloureux et comme je me mouche souvent, pas question d'abimer cette partie là.",partage_experience,symptome,non,,,
"Bonsoir, il est tout en silicone et viens juste s’appuyer au niveau du nez.",partage_experience,traitement,non,,,
Il ne rentre pas dans les trous de nez..,partage_experience,traitement,non,,,
:) et il ne fais pas du tout mal et ne marque pas.,partage_experience,symptome,oui,positif,,
Demandez à votre prestataire.,partage_experience,diagnostique,non,,,
C’est le Philips dream wear.,partage_experience,traitement,non,,,
Moi je le trouve mieux que les autres même si pour l’instant je ne m’habitue pas non plus..,partage_experience,traitement,oui,negatif,,
bon courage.,fonction_phatique,,non,,,
De rien.,fonction_phatique,,non,,,
;) merci à vous.,fonction_phatique,,oui,positif,,
Vous arrivez à vous endormir avec le masque ?,recherche_information,traitement,non,,,
Ca me rassure un peu..,partage_experience,symptome,oui,negatif,,
"je l’ai eu l’an dernier, je l’ai gardé 3 mois et n’ai jamais réussi à m’endormir avec..",partage_experience,traitement,oui,negatif,,
je le sortais au bout d’une ou deux heures..,partage_experience,traitement,non,,,
"j’ai donc opté pour l’orthese que j’ai gardé pendant 10 mois, elle a fonctionné super bien mais j’ai été obligé de l’arrêter car elle a commencé à me bousiller les dents et je n’ai plus d’occlusion dentaire..",partage_experience,traitement,non,,,
j’ai donc été forcée de reprendre la ppc depuis vendredi dernier.,partage_experience,traitement,non,,,
"C’est très difficile, je n’arrive pas à m’endormir avec et je me dit que vu que je ne l’ai pas supporté la première fois, je n’y arriverais pas cette fois non plus.",partage_experience,symptome,oui,negatif,,
Depuis que je l’ai je l’ai gardé environ 3h sans dormir et je la vire car sinon j’ai l’impression que je vais peter un câble..,partage_experience,symptome,oui,negatif,,
"la je suis en arrêt donc ça va mais quand je vais reprendre le boulot dans une semaine, ça va être galère.",partage_experience,symptome,oui,negatif,,
"Bonsoir Marie,",fonction_phatique,,non,,,
J’ai envie de vous dire qu’il ne faut jamais perdre espoir.,partage_experience,diagnostique,oui,positif,,
Lorsque le pneumologue m’a demandé si je pensais pouvoir dormir avec un masque je lui ai dit que je ne pouvais pas savoir sans avoir essayé.,partage_experience,traitement,non,,,
"La première semaine, j’ai bien cru que je n’y arriverai jamais, d’autant que je dormais encore moins bien qu’avant et que j’étais très fatiguée.",partage_experience,traitement,non,,,
"La première nuit où je me suis endormie a été celle où je me suis dit en me couchant, « si je ne dors pas dans deux heures, j’enlève le masque, il faut que je dorme sinon je ne tiendrai pas le coup »",partage_experience,traitement,non,,,
"J’ai eu l’impression de lâcher quelque chose et je me suis endormie rapidement, sans réveils dans la nuit ou presque.",partage_experience,traitement,non,,,
"Mon nez, lui, n’apprécie pas vraiment le contact du masque et était très douloureux les premiers jours, un peu moins maintenant mais quand même encore.",partage_experience,symptome,oui,negatif,,
"Si ça peut vous aider, je fais de la relaxation au moment où je me couche et c’est comme ça que je m’endors le plus souvent.",partage_experience,diagnostique,non,,,
J’ai enregistré des balados que j'ai trouvé sur passeport santé.net,partage_experience,diagnostique,non,,,
"et c’est très facile d’écouter même pendant la nuit, en cas de réveil.",partage_experience,diagnostique,non,,,
Je laisse mon portable allumé mais je coupe la sonnerie.,partage_experience,diagnostique,non,,,
"Pour ce qui est de votre arrêt de travail, ne vous est-il pas possible de le faire prolonger un peu ?",recherche_information,diagnostique,non,,,
Courage et tenez moi au courant si vous le voulez bien …,fonction_phatique,,oui,positif,,
Bonne soirée,fonction_phatique,,non,,,
"Bonjour,",fonction_phatique,,non,,,
J'ai été opéré (ablation de la lulette) il y a quelques années pour réduire mon problème de la lulette et je viens d'apprendre par un ORL que ceci n'a rien apporté à mon problème.,partage_experience,traitement,non,,,
"Aussi il me propose de mettre un masque pour m'oxygéner la nuit seulement un de mes cousins, lui-même médecin à l'étranger nous avait fait savoir que cela est de l'arnaque aussi je suis assez embêté pour savoir que choisir en terme de traitement sachant que je suis très fatigué le matin et que cela a une influence sur mon diabète.",partage_experience,traitement,non,,,
Qu'en pensez-vous ?,recherche_information,traitement,non,,,
Dois-je me lancer ?,recherche_information,traitement,non,,,
"La PPC reste le meilleur outil pour lever les apnées du sommeil, surtout dans les cas sévère.",partage_experience,diagnostique,non,,,
Votre ami vous a raconté n'importe quoi.,partage_experience,diagnostique,non,,,
"Ce qui est inquiétant, c'est qu'il est médecin !",partage_experience,diagnostique,oui,negatif,à mettre,
"perso,je suis appareillé depuis 1 an,je ne trouves aucun intérêt a cet appareil..Je pense aussi que c'est de l'arnaque..",partage_experience,traitement,oui,negatif,,
"j'ai encore plus de problème de santé depuis et je suis toujours aussi fatigué..je faisais 44 apnées par heure..Et Maintenant,soit disant 0,2 a 0,9..Mais toujours aussi fatigué..pour moi,c'est du pipeau leur truc..",partage_experience,symptome,oui,negatif,,
Mon beau-frére qui est appareillé aussi a encore plus de problème que moi,partage_experience,traitement,oui,negatif,,
"Si vous estimez que c'est de l'arnaque, demandez à être désappareillé.",partage_experience,diagnostique,non,,,
Mais vous allez développer de graves complications dans quelques années.,partage_experience,diagnostique,oui,negatif,,
"Votre fatigue est peut être aussi liée à un autre problème, c'est du ressort de votre médecin d'en trouver l'origine.",partage_experience,diagnostique,non,,,
"Bonjour,mon pneumo m'a fait faire une pds classique + sérodiagnostic aspergillaire.",partage_experience,traitement,non,,,
Résultats:Absence d'anticorps anti-aspergillus fumigatus.En principe c'est bon mais la suite est géniale:,partage_experience,diagnostique,non,,,
"Une sérologie négative n'écarte pas le diagnostic d'une infection aspergillaire,à confronter au contexte clinique et à contrôler à distance en cas de suspicion d'une infection récente.",partage_experience,diagnostique,non,,,
En attendant un rdv à sa clinique il m'a mis sous amoxicilline/acide clavulanique 1 g/125 mg que j'ai abandonné sur les conseils de mon médecin traitant au bout de 3 jours because aphtes+langue qui double de volume+diarrhées malgré ultra levure.,partage_experience,traitement,oui,negatif,,
"Bonjour,",fonction_phatique,,non,,,
"J’ai consulté un spécialiste qui m’oriente, d’apres Mes symptômes vers des apnées du sommeil.",partage_experience,traitement,non,,,
"Je souffre d’une fatigue atroce certains jours, couplé à un état quasi dépressif ( je ne le suis pas).",partage_experience,symptome,non,,,
Cet état terrible vous parle t il?,recherche_information,symptome,non,,,
Merci pour vos réponses,fonction_phatique,,non,,,
La dépression fait partie des symptomes d'un syndrome d'apnée du sommeil non traité.,partage_experience,diagnostique,non,,,
C'est sans doute pour cela que tu as été orienté vers un spécialiste en vue d'un enregistrement du sommeil.,partage_experience,diagnostique,non,,,
"Salut oui l'apnée pourris la vie, comme les matins ou te réveillais avec des migraines, puis avec la machine ça allait mieux, résultat en est qu'il faut voir un neurologue car le manque de cerveau oxygéné la nuit provoque des lésions que le neurologue et ORL pourront traiter, une tête qui a besoin de soin, avant de nous prendre pour fou psychiatrique.",partage_experience,symptome,oui,negatif,,
Courage!,fonction_phatique,,oui,positif,,
J’ai fait des tests à la maison qui n’avaient rien donné mais le Neurologue a voulu pousser quand même par acquis de conscience.,partage_experience,traitement,non,,,
"Une nuit en clinique, branchée.",partage_experience,traitement,oui,negatif,,
"Résultat, hypopnees, et 150 micro réveils en une nuit ...",partage_experience,traitement,oui,negatif,,
sommeil non réparateur...,partage_experience,symptome,non,,,
donc j’ai une machine depuis 10 jours.,partage_experience,traitement,non,,,
Je ne peux déjà plus m’en passer.,partage_experience,traitement,oui,positif,,
Je trouve le masque est hyper bien fait.,partage_experience,traitement,non,,,
J’ai l’ impression de dormir profondément....,partage_experience,symptome,non,,,
courage,fonction_phatique,,non,,,
"bonsoir, j'ai 59 ans , je ne dors plus ou très peu fatiguée mais jamais sommeil jusqu'à avoir des malaises je suis sous PPC (traitement apnées), depuis l'âge de 20 ans je prends des psychotropes, je redoute l'heure du couché, je suis désespérée mon médecin ne sait pas quoi faire et je ne vis plus, je reste à la maison j'ai mal partout, je ne peux rien faire, j'attends vos conseils merci",recherche_information,symptome,oui,negatif,,
Avez-vous essayé le lit incliné (ou lit égyptien) ?,recherche_information,traitement,non,,,
https://www.alternativesante.f [...] en-dormant,,,,,,
Pour moi c'est miraculeux!,partage_experience,traitement,oui,positif,cool,
2 cales en bois : c'est gratuit et inoffensif !,partage_experience,traitement,oui,positif,,
"Merci Jean,",fonction_phatique,,non,,,
j'ai cherché sur internet et j'ai trouvé un médicament que le médecin m'a prescrit cela fait 2 mois que je prends 50 mg de surmontil 2 heures avant de me coucher et ça va beaucoup mieux cela a régulé mon horloge biologique et supprimé ma phobie d'aller me coucher,partage_experience,traitement,non,,,
"bonjour,",fonction_phatique,,non,,,
avez-vous essayé la melatonine à liberation longue?,recherche_information,traitement,non,,,
"Bonjour,",fonction_phatique,,non,,,
Voilà j'ai une amie qui respire en apnée sans cesse DURANT LA JOURNEE.,partage_experience,symptome,non,negatif,,
"Je m'explique : lorsqu'elle est concentrée, devant la tv, en cours ou autre, elle cesse de respirer pour reprendre et cela par intermitence.",partage_experience,symptome,non,,,
Comment peut-on faire en sorte qu'elle ne le fasse plus ?,recherche_information,symptome,non,,,
sachant qu'elle ne s'en rend pas compte.,recherche_information,symptome,non,,,
Merci par avance.,fonction_phatique,,non,,,
bonjour,fonction_phatique,,non,,,
"alors déja ,personne ne respire en apnée puisque des apnées c des arrêts respiratoires &amp; pour le problèmes d'arrêt respiratoire ,il faut aller voir un médecin &amp; lui en parler",partage_experience,diagnostique,non,,,
Problème tres compliqué d'un point de vue médical.,partage_experience,diagnostique,oui,negatif,,
"Comme ça ça fait penser à un syndrome d'ondine, mais c'est une maladie genetique tres rare, sinon apres ça peut aussi venir d'un terrain specifique, un petit pbm lié au nerf phrénique, au systeme nerveux autonome...",partage_experience,diagnostique,non,,,
"Mais franchement c'est tres compliqué, et ça ne relève pas forcément d'un pbm physiologique.",partage_experience,diagnostique,non,,,
"Bonjour à tous,",fonction_phatique,,non,,,
"Même si sa date un peu, je voulais juste vous dire que moi même faisant de l'apnée du sommeil, mon médecin m'avais dit que si j'en faisais de jour (éveillé) c'est que la cause était cérébral ;)",partage_experience,diagnostique,non,,,
"J'ai chercher sur le net et j'ai vue un rapport de chirurgiens américains qui faisais des tests sur un patient faisans de l'épilepsie réfractaire à toute médicaments, et en gros ils se sont rendu compte que lorsqu'ils envoyais de petites décharges au niveau de l’amygdale, sa provoquait de façon inconsciente des arrêts respiratoires éveillé alors que le patient était dans une salle d'analyse à regarder autour de lui.",partage_experience,traitement,non,,,
Je précise que cette personne avait accepté d'avoir durant 10 jours des électrodes partout sur la tête et tout était enregistrer jour et nuit.,partage_experience,traitement,non,,,
"Ils l'ont reproduit sur 3 autres patients dont un n'avait eu de souci d'arrêt respiratoire, et ils lui en ont provoqué.",partage_experience,traitement,non,,,
Donc les recherches devrait à mon avis se dirigé vers un souci de tension électrique dans cette zone du cerveau alors qu'elle n'aurait pas lieu d'être (câblage mal fait) ;),partage_experience,diagnostique,non,,,
"Bonjour,",fonction_phatique,,non,,,
Et merci pour toutes les informations que j’ai pu trouver sur ces forums !,fonction_phatique,,oui,positif,,
Je vous explique rapidement mon cas :,partage_experience,symptome,non,,,
Je m’excuse déjà pour mon langage profane !,fonction_phatique,,non,,,
"J’ai 29 ans, en surpoids de 20 kg, fumeur (20 cig/jour) et assez sédentaire , mon médecin traitant, vu que j’ai de nombreux cas de problèmes cardiaques dans ma famille a un jour décider de m’envoyer chez un cardiologue.",partage_experience,symptome,non,,,
Ce cardiologue m’a prescrit un test d’effort et j’ai eu droit à plusieurs « tests » nocturnes à domicile avec un appareillage.,partage_experience,traitement,non,,,
"Avant hier, nouveau RDV chez le cardio qui me dit qu’il me faut d’urgence porter un masque pour lutter contre les apnées du sommeil :",partage_experience,traitement,non,,,
Je fais 75 apnées à l’heure alors que la norme maxi serait de 30…,partage_experience,symptome,oui,negatif,,
"Hier, les prestataires qui m’ont fait les tests de nuit m’apportent l’appareil avec le masque et l’humidificateur et m’explique le fonctionnement…",partage_experience,traitement,non,,,
Il dispose des résultats qu’il me commente de manière assez pessimiste :,partage_experience,traitement,non,,,
- 75 apnées à l’heure d’une durée moyenne de 35 secondes,partage_experience,diagnostique,non,,,
- des apnées de toutes sortes mais principalement parce que j’oublie de respirer (ça ne vient donc pas majoritairement de ma gorge si j’ai bien compris),partage_experience,diagnostique,non,,,
"- et surtout il me parle (et je lui demande de confirmer) d’apnées qui dureraient 476 secondes, ce qui me semble complètement fou !!!",partage_experience,diagnostique,oui,negatif,,
"J’essaie donc la nuit dernière l’appareil mais c’est l’horreur : j’ai l’impression d’avoir un ventilateur dans la bouche (même quand ça ne fuit pas) et ça m’empêche complètement de dormir, d’autant plus que je bouge beaucoup.",partage_experience,traitement,oui,negatif,,
"Voilà, je pense donc sincèrement que je vais laisser cet appareil dans sa boîte d’autant plus que je ne me vois pas dormir avec ça lorsque ma femme sera là.",partage_experience,traitement,oui,negatif,,
Qu’en pensez-vous ?,recherche_information,traitement,non,,,
N’y aurait il pas d’erreur dans les chiffres ?,recherche_information,traitement,non,,,
Est ce que si je maigris vous pensez que ça peut s’arranger ?,recherche_information,symptome,non,,,
Voilà je vous remercie de m’avoir lu et d’avance pour vos réponses !!,fonction_phatique,,oui,positif,,
bonsoir,fonction_phatique,,non,,,
je suis moi même appareillée depuis 3 ans.,partage_experience,traitement,non,,,
j'étais au même taux d'apnée que toi.,partage_experience,traitement,non,,,
"au début, je ne supportais pas du tout.",partage_experience,symptome,oui,negatif,,
je l'avais remis dans son emballage.,partage_experience,traitement,non,,,
j'ai vu mon médecin traitant qui m'a dit que si je voulais faire un affartus je n'avais que ca à faire.(ne pas mettre le masque),partage_experience,traitement,non,,,
j'ai pris peur je l'ai remis et j'ai insisté et si je te disais que maintenant je ne peux plus dormir sans !,partage_experience,traitement,oui,positif,,
"si tu veux plus de renseignements, n'hesites pas",fonction_phatique,,non,,,
bon courage,fonction_phatique,,non,,,
bonjour,fonction_phatique,,non,,,
"comme toi , j'ai un nombre elevé d'apnées et hypopnées 83/heures.",partage_experience,symptome,non,,,
j'suis appareillée depuis seulement deux semaines et j'n'ai encore po reussi a passer une nuit complete avec le masque.,partage_experience,traitement,non,,,
"j'ai une sep de chez aliseo qui etait fourni avec un masque nasal, que je n'ai po supoporter , probleme d'etouffement en cas de bouche ouverte.",partage_experience,traitement,oui,negatif,ok,
"mon prestataire m'a lors donné un masque faciale , c'est nettement mieux.",partage_experience,traitement,oui,positif,,
"le probleme sont les fuites d'air , comme toi je bouge po mal et même en resserant les sangles çà fuit et parfois partout!!",partage_experience,traitement,oui,negatif,,
en demi sommeil je n'arrive po a reguler ceci...,partage_experience,symptome,non,,,
hier soir j'ai mis mon masque a 23h me suis levée a 4h (wc) je ne l'avais plus et ma machine etait eteinte.....entre deux sommeil j'dois l'enlever j'pense ...j'l'ai remis jusqu'a 6h45(heure du levé) et j'ai super bien dormi.....,partage_experience,traitement,oui,positif,,
mon pneumpologue m'a dit de m'accrocher qu'en principe il fallait compter 1 mois pour s'accoutumer.,partage_experience,traitement,non,,,
"j'ai 32 ans, je suis une femme en surpoids en attente d'une operation bariatrique.",partage_experience,symptome,non,,,
voilà j'sais po si çà t'aide mais en tout cas tu n'es po seul..on peut peut etre se soutenir.,fonction_phatique,,oui,positif,,
"bonjour,",fonction_phatique,,non,,,
Et merci pour vos remarques et témoignages!,fonction_phatique,,oui,positif,,
J'ai un peu évolué depuis mon dernier message : toujurs impossible de m'endormir avec le masque facial (j'avais l'impression d'étouffer...),partage_experience,traitement,oui,negatif,,
On m'a donc fourni un appareil nasal avec lequel ça se passe un peu mieux : j'arrive à m'endormir avec!,partage_experience,traitement,oui,positif,,
"Par contre je ne le tiens pas plus de 3 ou 4 heures : je me réveille et n'arrive plus à m'endormir si je le garde ou en bougeant et le déplaçant je fais augmenter la pression et me retrouve avec ""un ventilateur"" sur le visage...",partage_experience,traitement,non,,,
"Enfin bon, je fais des efforts et espère bien que tout ça va s'arranger!",partage_experience,traitement,oui,positif,,
Bon courage à vous tous et encore merci!,fonction_phatique,,non,,,
Bonjour et bienvenue au club,fonction_phatique,,non,,,
Bien sur que cela va s'arranger et bientot quand tu verra les effets bénéfiques de la PPC tu deviendra accroc.,partage_experience,diagnostique,oui,positif,,
Bizarre ton prestataire qui commence par un facial !!!,partage_experience,traitement,oui,negatif,,
Il existe un masque qui ne comprime pas et qui ne fuit pas exige le de la part de ton prestataire sinon tu peux en changer(de prestataire).,partage_experience,diagnostique,non,,,
Bonjour à tous,fonction_phatique,,non,,,
Je ne sais pas si certains se souviennent je suis venue ici poster en février suite a un test du sommeil fait sur ma fille dont avait résulter un apnée du sommeil avec une moyenne de 40 apnée par heure ....,partage_experience,symptome,oui,negatif,,
Suite a cette découverte l'orl avait souhaiter opérer ma fille le plus vite possible des amygdales et m'avait dit que souvent le problème était régler par cette intervention et que je devrait voir le comportement de ma fille changer ..,partage_experience,symptome,oui,negatif,,
"Ce qui ne fut pas le cas, nous venons de refaire un test dans la nuit de jeudi a vendredi ...",partage_experience,traitement,oui,,,
"Les résultats ne sont vraiment pas bon , 45 apnées par heures en moyenne !!!!!!",partage_experience,symptome,oui,negatif,,
De plus le taux d'oxygène descend de plus en plus (il est descendu dans la nuit a moins de 70% !,partage_experience,symptome,oui,negatif,,
"Bref je suis assez désemparer, tout me saute au visage",partage_experience,symptome,oui,negatif,,
"Depuis plusieurs semaine ma fille deviens plus difficile, n'écoute plus, court partout, saute et danse sans s'arrêtter bien qu'on le lui dise et même qu'on la gronde ...",partage_experience,symptome,oui,negatif,,
à l'école elle commence a se déconcentrer elle est punit presque tout les jours car elle n'écoute pas ne tiens pas en place .....,partage_experience,symptome,oui,negatif,,
"et la je croit que je suis en train de comprendre que la pauvre n'y peut rien , j'ai d'abord penser que c'était du a son âge, ou qu'elle était perturbée, mais apparement cela serait du a l'apnée qui s'aggrave et donc la fatigue encore plus et du coup elle deviens petit à petits hyper active .....",partage_experience,symptome,non,,,
"Je ne sais pas du tout ce qu'il va se passer maintenant, j'ai eut les résultats par la secrétaire je voit l'orl seulement jeudi, je vais devoir parler au père de ma fille qui ne veut rien entendre ...",partage_experience,symptome,oui,negatif,,
"Bref si quelqu'un peut me conseiller, me dire ce qu'il va se passer maintenant ?",recherche_information,symptome,non,,,
Nous allons surement être dirigé vers des spécialistes ?,recherche_information,traitement,non,,,
elle va surement devoir passer d'autres examens pour confirmer le diagnostique ???,recherche_information,traitement,non,,,
Et quelle sont les traitements ?,recherche_information,traitement,non,,,
"on me dit que si jeune on appareil pas, d'accord mais alors quoi ?",recherche_information,traitement,non,,,
"on ne vas quand même pas la laisser comme ca ,?",recherche_information,traitement,non,,,
"J'ai peur, je suis très inquiète, j'essaie de gerer au mieux le comportement de ma fille, quand elle s'enerve beaucoup je la prend calmement et essaie de la calmer et de la poser un peu qu'elle se repose ...",partage_experience,symptome,oui,negatif,,
Le soir j'essaie de bien la calmer pour qu'elle s'endorme sereinement ....,partage_experience,symptome,oui,positif,,
"Je sais pas quoi faire d'autre, es ce que je fait bien, ou pas ....",recherche_information,symptome,non,,,
Merci de vos conseils si vous en avez,fonction_phatique,,non,,,
Le médecin spécialiste pneumologue serait amené à vous répondre avec un complément de diagnostic avec l'orl .,partage_experience,diagnostique,non,,,
Le stomato aussi a un rôle à jouer pour déterminer si la mâchoire de votre enfant est bien constituée pour une meilleure ventilation.,partage_experience,diagnostique,non,,,
(mâchoire inversée : cause de l'apnée de sommeil).,partage_experience,diagnostique,non,,,
"Maintenant les enfants hyper actifs peuvent avoir des troubles de sommeil, là dans ce cas voir un pédo psychologue pour un bilan et orthophoniste",partage_experience,diagnostique,non,,,
"Merci pour votre réponse,",fonction_phatique,,non,,,
"Pour l'hyperactivité ma fille ne l'est pas, juste depuis quelques temps elle se déconcentre, par moment n'arrive plus a tenir en place n'arrive pas a se calmer, et ceci petit à petit , apparement cela viendrais de son apnée du sommeil,",partage_experience,symptome,non,,,
Pour sa machoire je ne sais pas si cela a a voir mais la nuit elle grince beaucoup des dents sa machoire est assez crispée (je pense que c'est liée mais es ce un sympôme ou une cause ),partage_experience,symptome,non,,,
"Bonsoir,",fonction_phatique,,non,,,
"Malheureusement je constate que ta fille fait beaucoup plus d'apnées que la mienne et je comprends ton calvere au quotidien car comme toi, nous sommes impuissantes face au mal être de nos filles.",partage_experience,symptome,oui,negatif,,
Connais tu la différence entre apnée obstructive et apnée centrale?,recherche_information,symptome,non,,,
"Mon Orl m'a dit que toutes les apnées ne se traitent pas forcément avec l'ablation de amygdales, inuquement efficace pour les apnées obstructives (c'est a dire avec des éléments qui bouchent les voies aériennes : amygdales, végétations, cornets...)",partage_experience,diagnostique,non,,,
"Comme le dit catherine, ils faut aussi voir un orthodentiste pour le probleme du palet souvent trop étroit.",partage_experience,diagnostique,non,,,
La voie de l'othophoniste est aussi à étudier pour la rééducation respiratoire pour qu'elle réapprenne à respirer par le nez.,partage_experience,diagnostique,non,,,
J'espere t'avoir donner des pistes à explorer.,fonction_phatique,,non,,,
J'espere de mon coté que l'opération de ma fille sera efficace.,partage_experience,traitement,oui,positif,,
Bon courage et surtout beaucoup de patience.,fonction_phatique,,oui,positif,,
"Bonsoir,",fonction_phatique,,non,,PROBLEME ICI,Résolu
"Liline, oui je connait la différence entre apnnées obstructives (le systeme respiratoire fonctionne mais l'air ne passe pas = obstruction) et l'apnée cenrtal (le système respiratoire s'arrêtte totalement= pas d'effort respiratoire)",partage_experience,diagnostique,non,,,
Pour ma fille les résultat demontrent des apnées CENTRALES et pourtant l'ORL l'as traitée comme une apnées OBSTRUCTIVE !!,partage_experience,symptome,oui,negatif,,
Résultat rien n'as changer !,partage_experience,symptome,oui,negatif,,
mais j'ai voulut lui faire confiance,partage_experience,symptome,non,,,
Aujourd'hui j'ai vu l'orl pour parler des résultats du test ...,partage_experience,traitement,non,,,
"Verdict : il ne sait pas de quoi souffre ma fille, d'apnée du sommeil sévère oui, mais a cause de quoi ?",recherche_information,symptome,non,,,
"Au départ il me dit que le cerveau s'est peut être habitué a l'apnée et du coup fonctionne comme ça, ensuite il me dit qu'on ne voit cela que chez les adulte qu'il n'as jamais vu de cas similaire chez un enfant aussi jeune ....",partage_experience,symptome,non,,,
